Title,Latitude,Longitude,Description,Contact,Link,
Cabaña Ale,-47.794627,-73.528915,Cabañas/cabins,56981345541,,
Cabaña Cony,-47.801056,-73.535664,Cabañas/cabins,56996722883/56975350502,,
Cabañas Ámbar,-47.795698,-73.533184,Cabañas/cabins,56996722883/56975350502,,
Cabañas Bajo Pisagua,-47.794625,-73.530197,Cabañas/cabins,56993576175,,
Cabañas Don Esteban,-47.794378,-73.53198,Cabañas/cabins,56934844697,,
Cabañas El Peregrino,-47.933201,-73.324101,Cabañas/cabins,56950206647,,
Cabañas El Pionero Roberto Becerra,-47.797477,-73.530878,Cabañas/cabins,56982740950,,
Camping Tortel,-47.796819,-73.530749,Camping,56991910341/56975215330,,
Hospedaje Bellavista,-47.79741,-73.534739,Hospedaje/accommodation,56962117430/56987604120,,
Hospedaje Casa Baker,-47.795272,-73.532195,Hospedaje/accommodation,56931996629,,
Hospedaje Chanito,-47.796023,-73.531867,Hospedaje/accommodation,56940928519,,
Cabañas Javi,-47.795945,-73.532817,Cabañas/cabins,56956952351/56981554983,,
Hospedaje Giselle 1,-47.797085,-73.534027,Hospedaje/accommodation,56975133686,,
Hospedaje Giselle 2,-47.797034,-73.534188,Hospedaje/accommodation,56975133686,,
Hospedaje Río Bravo,-47.796287,-73.532073,Hospedaje/accommodation,56934282348,,
Hospedaje y cabaña Albita,-47.805276,-73.543412,Hospedaje/accommodation,56998188974,,
Hospedaje y Cabaña Don Adán,-47.797608,-73.531274,Hospedaje/accommodation,56981356931,,
Hospedaje y cabaña El buen amigo,-47.80507,-73.542804,Hospedaje/accommodation,56982386781/56995917240,,
Hospedaje y cabañas El Porvenir,-47.803832,-73.546645,Hospedaje/accommodation,56976521937/56953042022,,
Hospedaje y Cabañas Mary,-47.797256,-73.531164,Hospedaje/accommodation,56991910341/56975215330,,
Hostel Costanera,-47.802355,-73.537271,Hostel,56997790187,https://costaneratortel.cl/,
Cabañas Jose Santos,-47.801369,-73.535509,Cabañas/cabins,56975718680/56962454565,,
Cabañas Nunatak,-47.796393,-73.532631,Cabañas/cabins,56996112452/56942349188,,
Hostal Natureza,-47.797133,-73.534252,Hostal,56951427329,,
Vientos de la Patagonia,-47.798467,-73.535791,Artesanías/crafts,56972159507,,
Artesanías Chino Milla,-47.797896,-73.5355,Artesanías/crafts,56984212519,,
Cafetería Kuspe,-47.794658,-73.529969,Restaurante,56997745198,,
Comida Onde Pituto,-47.795488,-73.5308,Comida al paso/fast food,56973776865,,
Comida Toñita,-47.795379,-73.530776,Comida al paso/fast food,56982970379,,
Restaurante Bellavista,-47.797491,-73.534763,Restaurante,56962117430,,
Restaurante Chanito,-47.796032,-73.53184,Restaurante,56940928519,,
Restaurante El Calafate,-47.795849,-73.533688,Restaurante,56988781450,,
Restaurante El Mirador,-47.803418,-73.538122,Restaurante,56932231855,,
Restaurante El Patagon Tortelino,-47.797556,-73.534908,Restaurante,56956002560,,
Restaurante El Rincón del Baker,-47.796959,-73.531173,Restaurante,56938984698,,
Restaurante La Baguala,-47.795625,-73.529581,Restaurante,56940901983,,
Restaurante Tortel Mallín,-47.795637,-73.532599,Restaurante,56996112452/56942349188,,
Restaurante Venus,-47.795914,-73.531042,Restaurante,56939084791,,
Restaurante y comidas caseras El Chilco,-47.796454,-73.533871,Restaurante,56995061909,,
Restobar Sapucay,-47.797666,-73.535105,Restaurante,56998289698/56951576212,,
Gusto Austral Express,-47.795415,-73.530775,Comida al paso/fast food,56994953899,,
Cafetería El Peregrino,-47.93535,-73.324059,Comida al paso/fast food,56950206647,,
Agencia turística Huellas madereras,-47.79585,-73.531004,Senderismo/hiking,56975152940,,
Canales Australes,-47.795687,-73.531596,Expediciones fluviales/Boat trip,56931978788,,
Expediciones Borde Río,-47.802595,-73.537077,Expediciones fluviales/Boat trip,56999408265,,
Expediciones Katalalixar,-47.800037,-73.535439,Expediciones fluviales/Boat trip,56951819348/56991419977,,
Residencial Entre Raíces,-47.799665,-73.535877,Residencial/accommodation,56990873064,,
Cabañas Marluc,-47.797028,-73.53093,Cabañas/cabins,56966635567,,
Residencial Estilo,-47.802166,-73.537329,Residencial/accommodation,56982558487,,
Residencial Los regalones,-47.801018,-73.535439,Residencial/accommodation,56984066644,,
Entre Hielos Lodge Tortel,-47.800815,-73.536473,Lodge,56995793779,,
Residencial y cabaña Brisas del sur,-47.805438,-73.544142,Residencial/accommodation,56956882723,,
Tour El pionero Roberto Becerra,-47.797504,-73.530904,Expediciones fluviales/Boat trip,56957511180/56982740950,,
Taller de artesanías,-47.803456,-73.53752,Artesanías/crafts,,,
Camping Marianela Reyes,-47.771687,-73.287935,Turismo rural/Rural tourism,,,
Turismo rural Luis Landeros,-47.804332,-73.471545,Turismo rural/Rural tourism,,,
Camping Sudelia Arratia,-47.781467,-73.303607,Turismo rural/Rural tourism,,,
Camping María Chodil,-47.780044,-73.316336,Turismo rural/Rural tourism,,,
Turismo rural María Ríos,-48.010247,-73.08471,Turismo rural/Rural tourism,,,
Turismo rural Jonathan Landeros,-48.02599,-73.122085,Turismo rural/Rural tourism,,,
Turismo rural Amelia Barría,-48.227025,-73.306516,Turismo rural/Rural tourism,,,
Ferry Tabsa,-47.801928,-73.537016,Otros servicios/Other services,56996119758,,
Almacén Alicia,-47.805117,-73.542923,Venta abarrotes/Grocery Store,56984262983,,
Almacén Bertola,-47.805467,-73.544302,Venta abarrotes/Grocery Store,56992119002,,
Almacén El Calafate,-47.805331,-73.544934,Venta abarrotes/Grocery Store,56998252181,,
Almacén Rincon Maderero,-47.804988,-73.542713,Venta abarrotes/Grocery Store,56973942085,,
Kiosko Chamullo,-47.795951,-73.531855,Venta abarrotes/Grocery Store,56926334904,,
Kiosko Chanito,-47.796032,-73.531853,Venta abarrotes/Grocery Store,56940928519,,
Kiosko Edén,-47.803836,-73.537763,Venta abarrotes/Grocery Store,56984355233,,
Kiosko El escolar,-47.796083,-73.531651,Venta abarrotes/Grocery Store,56957018204,,
Estación de combustible,-47.795721,-73.530727,Carga de combustible/Fuel Station,,,
Kiosko Novedades Francisca,-47.802201,-73.537235,Venta abarrotes/Grocery Store,56982558487,,
Kiosko Quinquén,-47.795679,-73.531008,Venta abarrotes/Grocery Store,56956851504,,
Minimarket El negrito,-47.795443,-73.528732,Venta abarrotes/Grocery Store,,,
Minimarket El sauce,-47.795742,-73.53102,Venta abarrotes/Grocery Store,56998780268,,
Minimarket El sencillito,-47.794827,-73.53194,Venta abarrotes/Grocery Store,56982371470,,
Minimarket Hijos de Pioneros,-47.795761,-73.531767,Venta abarrotes/Grocery Store,56994900298,,
Minimarket Junquillo,-47.803898,-73.547538,Venta abarrotes/Grocery Store,56931919370,,
Servicio de custodia,-47.796145,-73.530127,Otros servicios/Other services,,,
Minimarket Polita,-47.796429,-73.533311,Venta abarrotes/Grocery Store,56962322798,,
Minimarket Río Bravo,-47.796214,-73.532048,Venta abarrotes/Grocery Store,56934282348,,
Oficina Información Turística,-47.79568,-73.531743,Informaciones/Information,56981616021,https://www.instagram.com/uturismo.tortel/,
Minimarket y ferretería Marvys,-47.795559,-73.528622,Ferreteria/Hardware Store,56952289151,,
Minimarket ECA,-47.803706,-73.538087,Venta abarrotes/Grocery Store,56977585961,,
Biblioteca pública,-47.803335,-73.537203,Servicio publico/Public Service,,,
Carabineros,-47.803401,-73.537468,Servicio publico/Public Service,,,
CONAF,-47.796145,-73.532932,Servicio publico/Public Service,,,
Municipalidad de Tortel,-47.803349,-73.53763,Servicio publico/Public Service,,,
Posta Salud Rural,-47.795903,-73.532351,Servicio publico/Public Service,56998241609,,
Registro Civil,-47.802063,-73.537012,Servicio publico/Public Service,,,
Plaza Elicura,-47.797957,-73.535378,Plaza/Square,,,
Casa de la cultura,-47.804024,-73.53908,Espacio multiuso/public facilities,,,
Pasarela Interactiva,-47.804029,-73.539427,Espacio multiuso/public facilities,,,
Plaza Morel,-47.805273,-73.545322,Plaza/Square,,,
Plaza Orompello,-47.805189,-73.540784,Plaza/Square,,,
Pérgola,-47.796041,-73.531118,Espacio multiuso/public facilities,,,
Parque costumbrista,-47.80568,-73.551121,Espacio multiuso/public facilities,,,
Gimnasio comunitario,-47.802471,-73.537895,Espacio multiuso/public facilities,,,
Mirador del Faro,-47.801703,-73.535566,Mirador/viewpoint,,,
Plaza San Pedro,-47.801991,-73.535571,Plaza/Square,,,
Plaza Kawasqar,-47.803934,-73.538321,Plaza/Square,,,
Mirador La Antena,-47.803658,-73.540666,Mirador/viewpoint,,,
Plaza de Armas,-47.803734,-73.537446,Espacio multiuso/public facilities,,,
Mirador Cascada Pisagua,-47.791539,-73.53234,Mirador/viewpoint,,,
Mirador El cóndor,-47.792753,-73.537233,Mirador/viewpoint,,,
Mirador El ciprés,-47.79512,-73.53722,Mirador/viewpoint,,,
El Mercadito,-47.795797,-73.531058,Espacio multiuso/public facilities,,,
Mirador Rotonda,-47.796052,-73.531345,Mirador/viewpoint,,,
Plaza de juegos,-47.798295,-73.535742,Espacio recreacional/playground,,,
Paradero,-47.795995,-73.531801,Espacio multiuso/public facilities,,,
Plaza de juegos,-47.794785,-73.532169,Espacio recreacional/playground,,,
Plaza de juegos,-47.794905,-73.529548,Espacio recreacional/playground,,,
Plazoleta Rincón bajo,-47.797169,-73.53349,Plaza/Square,,,
Mirador Rincón alto,-47.79648,-73.532428,Mirador/viewpoint,,,
Mirador Playa,-47.806502,-73.548587,Mirador/viewpoint,,,
Plazoleta Rincón bajo,-47.799077,-73.535667,Plaza/Square,,,
Plaza de juegos,-47.802114,-73.537451,Espacio recreacional/playground,,,
Plaza de deportes,-47.80637,-73.548764,Espacio recreacional/playground,,,
